time_blocks,freq_blocks,token_length,best_val_loss,test_loss,train_time
2,1,8,6.685169978932124,19.47396885442854,348.09346413612366
2,1,16,8.568958829148727,20.398922993807318,91.89294338226318
2,1,24,5.9315358518569665,13.244665223572936,157.10585689544678
2,2,8,6.152809101401731,16.615767632877187,213.43306612968445
2,2,16,8.545933839404666,19.595083005113167,104.4233329296112
2,2,24,6.279939361699503,14.637594409842299,154.230140209198
2,4,8,6.460091678628041,17.808957787820642,276.79087686538696
2,4,16,7.61527822556484,20.391541545400802,128.52342772483826
2,4,24,6.089948355949345,13.609226099603017,190.85894536972046
4,1,8,6.578962479171677,13.288324880031926,306.72554445266724
4,1,16,7.509294813433326,22.512219126133814,245.93629097938538
4,1,24,6.5723090225880885,13.327779688056767,232.58566999435425
4,2,8,6.589921352489141,13.0246870977376,407.82603907585144
4,2,16,8.573511783692322,22.88335541584847,147.7916660308838
4,2,24,6.303943909706447,15.321190287925951,192.25940418243408
4,4,8,6.530908562632632,13.05054820489763,452.36247086524963
4,4,16,8.714625401098782,21.218747524174383,258.79747581481934
4,4,24,6.193236263157961,13.996475784189027,179.25880193710327
6,1,8,6.639794062429048,12.628059721297312,367.3658649921417
6,1,16,8.301725874000068,22.230101297036832,288.96069598197937
6,1,24,6.950505273499273,12.683490519845709,151.10634469985962
6,2,8,6.434244177000449,12.872015455130326,469.4333686828613
6,2,16,8.17159733427062,24.651920183914605,214.23090887069702
6,2,24,6.585595450549861,14.116402912925443,190.97079277038574
6,4,8,6.585455432813145,12.706867151430906,373.2848243713379
6,4,16,7.824817401377105,19.98937880758034,275.12208580970764
6,4,24,6.488202552004199,13.32235629205239,217.9681589603424
